Age,Male,Female
60,0.0593,0.0572
61,0.0604,0.0582
62,0.0617,0.0594
63,0.063,0.0606
64,0.0644,0.0618
65,0.0659,0.0632
66,0.0676,0.0647
67,0.0694,0.0662
68,0.0712,0.0679
69,0.0731,0.0697
70,0.0752,0.0719
